,acc.date,type,reg,operator,fat,location,dmg
750,2019-05-03,Douglas C-47A-25-DK (DC-3C),C-GJKM,Buffalo Airways,0.0,"6,5 km SE of Hay River Airport, NT (YHY)",sub
751,2019-05-03,Boeing 737-81Q (WL),N732MA,Miami Air International,0.0,"Jacksonville Naval Air Station, FL (NIP)",sub
752,2019-05-04,Antonov An-2R,RA-01443,Voskhod LLC,0.0,"Vyun, Tomponsky region",sub
753,2019-05-04,Learjet 45,C-GMCP,Skyservice Business Aviation,0.0,Edinburgh-Turnhouse Airport (EDI/EGPH),unk
754,2019-05-05,Canadair CL-600-2B16 Challenger 601-3A,N601VH,Compañia de Aviación y Logística Empresarial,13.0,257 km NW of Monclova,w/o
755,2019-05-05,Sukhoi Superjet 100-95B,RA-89098,Aeroflot Russian International Airlines,41.0,Moskva-Sheremetyevo Airport (SVO),w/o
756,2019-05-07,Antonov An-2R,YV2354,private,0.0,13 km from Uriman Airport (URM),w/o
757,2019-05-07,de Havilland Canada DHC-6 Twin Otter 300,C-GNDO,Air Inuit,0.0,"57 km NNE of Kuujjuarapik Airport, QC (YGW)",sub
758,2019-05-08,de Havilland Canada DHC-8-402Q Dash 8,S2-AGQ,Biman Bangladesh Airlines,0.0,Yangon-Mingaladon Airport (RGN/VYYY),w/o
759,2019-05-10,de Havilland Canada DHC-8-311 Dash 8,C-FJXZ,"Air Canada Express, opb Jazz Aviation",0.0,"Toronto–Lester B. Pearson International Airport, Ontario (YYZ)",sub
760,2019-05-11,Cessna 208B Supervan 900,C-FCPM,Parachutisme Nouvel Air,0.0,"Saint-Esprit Aerodrome, QC",sub
761,2019-05-12,Embraer ERJ-190LR,XY-AGQ,Myanmar National Airlines,0.0,Mandalay International Airport (MDL),min
762,2019-05-13,Boeing 737-9B5,HL7726,Korean Air,0.0,30NM W of Incheon International Airport,non
763,2019-05-13,de Havilland Canada DHC-3T Vazar Turbine Otter,N959PA,Taquan Air,6.0,"15 km NE of Ketchikan, AK",sub
764,2019-05-18,Gulfstream American G-1159 Gulfstream II SP,unreg.,private,0.0,"Chico de Chamorro, Retalhuleu",w/o
765,2019-05-22,Cessna S550 Citation S/II,N311G,private,2.0,"near Indianapolis Regional Airport, IN (KMQJ)",w/o
766,2019-05-22,Antonov An-2R,RA-68161,private,0.0,Zhuravskoye,w/o
767,2019-05-24,Cessna 560 Citation Encore,N832R,Jet Sales LLC,1.0,"500 km E off Fort Lauderdale, Florida, USA",w/o
768,2019-05-25,Boeing 737-8H4 (WL),N8697C,Southwest Airlines,0.0,"Waycross, Georgia",non
769,2019-05-25,Airbus A320-214 (WL),PK-LZJ,Batik Air,0.0,Makassar-Sultan Hasanuddin International Airport (WAAA),non
770,2019-05-28,Airbus A320-232,N507JT,Jetblue Airways,0.0,"Fort Lauderdale, Florida",non
771,2019-05-29,Antonov An-124-100,5A-DKN,Libyan Air Cargo,0.0,Tripoli International Airport (TIP),w/o
772,2019-06-03,Antonov An-32,K2752,Indian Air Force - IAF,13.0,16 km N of Lipo,w/o
773,2019-06-07,Antonov An-2T,UR-KAU,TSO Ukrayiny,0.0,"Svyatoshyns'kyi District, Kiev",sub
774,2019-06-09,Boeing 737-924ER (WL),N75436,United Airlines,0.0,"Denver International Airport, CO (DEN/KDEN)",sub
775,2019-06-09,Antonov An-2R,RA-81519,Feniks,0.0,"50 km NE of Kyren, Tunkinsky District",sub
776,2019-06-11,CASA C-212 Aviocar 200,N603AR,EP Aviation,0.0,Kiunga Airport (KIU),sub
777,2019-06-13,Beechcraft B200 Super King Air,,Unknown,0.0,"Río Chixoy, La Máquina",w/o
778,2019-06-15,ATR 42-320,PR-MPN,MAP Linhas Aéreas,0.0,"Manaus-Eduardo Gomes International Airport, AM (MAO)",sub
779,2019-06-15,Boeing 757-224 (WL),N26123,United Airlines,0.0,"Newark-Liberty International Airport, NJ (EWR)",sub
780,2019-06-17,Boeing 737-8H4 (WL),N8608N,Southwest Airlines,0.0,"Pittsburgh-Greater Pittsburgh International Airport, PA (PIT)",sub
781,2019-06-17,Cessna 680 Citation Sovereign,LV-CIQ,Banco Macro,0.0,"Joaquín V. González-Agropecuaria Río Juramento Airstrip, SA",sub
782,2019-06-18,Airbus A330-243,B-LHA,Hong Kong Airlines,0.0,"Nansha District, Guangzhou, Guangdong Province",non
783,2019-06-20,Antonov An-2R,UP-A0116,Navigator,1.0,"10 km from Rodina village, Tselinograd district",w/o
784,2019-06-21,Basler BT-67 Turbo 67 (DC-3T),C-FKGL,North Star Air,0.0,"off Fort Hope Airport, ON (YFH)",sub
785,2019-06-23,Antonov An-2R,UR-43983,Phoenix Air LLC,0.0,"near Mlyny, Poltava region",w/o
786,2019-06-24,Hawker Siddeley HS-125-400,,Unknown,0.0,"Parque Nacional Laguna del Tigre, Petén",w/o
787,2019-06-26,Rockwell Sabreliner 65,N65HH,Yankee Dawdle LLC,0.0,"Sacramento-McClellan Airfield, CA (MCC)",min
788,2019-06-27,Cessna 560 Citation V,N318RW,Mueller Aero Inc,0.0,"Janesville, Wisconsin",min
789,2019-06-27,British Aerospace 3212 Jetstream 31,YV2536,Transmandu,0.0,Canaima Airport (CAJ),w/o
790,2019-06-27,Antonov An-24RV,RA-47366,Angara Airlines,2.0,Nizhneangarsk Airport (UIUN),w/o
791,2019-06-28,Saab 340A,C6-VIP,Western Air,0.0,Nassau-Lynden Pindling International Airport (NAS),sub
792,2019-06-29,Cessna 208B Supervan 900,N80JF,ISR Aviation LLC,0.0,"Plant City-Blackwater Creek Ultralight Flightpark, FL",sub
793,2019-06-30,Dassault Falcon 900B,N908CA,Warren Transportation LLC,0.0,"Dallas-Addison Airport, TX (ADS/KADS)",w/o
794,2019-06-30,Antonov An-2T,RF-00105,"DOSAAF, Gvardeysky ATSK",0.0,near Gvardeysky,sub
795,2019-06-30,Beechcraft B300 King Air 350i,N534FF,EE Operations LLC,10.0,"Dallas-Addison Airport, TX (ADS/KADS)",w/o
796,2019-07-01,Boeing 737-85R,VT-SYK,SpiceJet,0.0,Mumbai-Chhatrapati Shivaji International Airport (BOM),sub
797,2019-07-08,Canadair CL-215-6B11 (CL-415),C-FAWQ,Gouvernement du Québec,0.0,"83 km NW of Roberval Airport, QC (YRJ)",sub
798,2019-07-08,Cessna 208B Grand Caravan,N9448B,Grant Aviation,0.0,"Bethel Airport, AK (BET)",w/o
799,2019-07-08,Airbus A320-214,5A-ONA,Afriqiyah Airways,0.0,Tripoli-Mitiga International Airport (MJI),min
800,2019-07-09,Antonov An-2,unreg.,Unknown,0.0,"near Raduga, Novoaleksandrovsk District",sub
801,2019-07-09,Boeing 737-8K2 (WL),PH-BXH,KLM Royal Dutch Airlines,0.0,Amsterdam-Schiphol International Airport (AMS/EHAM),min
802,2019-07-09,Airbus A320-214 (WL),OE-IVQ,easyJet Europe,0.0,Amsterdam-Schiphol International Airport (AMS/EHAM),min
803,2019-07-10,Airbus A380-861,A6-EEM,Emirates,0.0,Bay of Bengal,non
804,2019-07-12,ATR 42-500,SX-FOR,Sky Express,0.0,Naxos Island National Airport (JNX/LGNX),sub
805,2019-07-12,Cessna 525 CitationJet,N262BK,"Omicron Business Services, LLC",0.0,"Orlando Executive Airport, FL (ORL)",sub
806,2019-07-13,Beechcraft B200 Super King Air,,Unknown,0.0,"Graham Creek, Toledo",w/o
807,2019-07-16,Antonov An-2,RA-3098K,Unknown,0.0,"Novoshchedrinskaya, Chechnya",w/o
808,2019-07-17,Cessna 550 Citation II,N320JT,Avia Jet LLC,0.0,"Mesquite Municipal Airport, NV",w/o
809,2019-07-19,de Havilland Canada DHC-8-402Q Dash 8,C-FKWE,WestJet Encore,0.0,"Edmonton International Airport, AB (YEG)",sub
810,2019-07-20,ATR 42-500,AP-BHP,Pakistan International Airlines - PIA,0.0,Gilgit Airport (GIL),sub
811,2019-07-22,Boeing 767-322ER (WL),N663UA,United Airlines,0.0,"200 nm N of San Juan, Puerto Rico",non
812,2019-07-23,Boeing 757-324 (WL),N57852,United Airlines,0.0,"San Francisco International Airport, CA (SFO)",sub
813,2019-07-23,Boeing 737-36N (WL),5N-BQO,Air Peace,0.0,Lagos-Murtala Muhammed International Airport (LOS),sub
814,2019-07-24,Boeing 777-333ER,C-FNNQ,Air Canada,0.0,Paris-Charles de Gaulle Airport (CDG/LFPG),non
815,2019-07-25,Ilyushin Il-76TD,UR-CMC,Europe Air,1.0,Al Jufra Airbase,w/o
816,2019-07-25,Ilyushin Il-76TD,UR-CRP,Europe Air,0.0,Al Jufra Airbase,w/o
817,2019-07-26,Cessna 208 Caravan 675,C-GURL,Seair Seaplanes,4.0,"Addenbroke Island, BC",w/o
818,2019-07-27,Fairchild SA227-AC Metro III,N681TR,Sierra West Airlines,0.0,"El Paso International Airport, TX (ELP)",sub
819,2019-07-30,Avro RJ85,VH-NJW,Cobham Aviation Services,0.0,"Perth Airport, WA (PER)",sub
820,2019-07-30,Airbus A319-114,D-AILR,Lufthansa,0.0,Frankfurt International Airport (FRA/EDDF),sub
821,2019-07-30,unknown,,Fuerza Aérea de Guinea Ecuatorial,0.0,off Grand Batanga,w/o
822,2019-07-30,Beechcraft B300 King Air 350i,766,Pakistan Army Aviation Corps,19.0,"Mora Kalu, Rawalpindi",w/o
823,2019-07-31,Douglas DC-3C,N59314,Bush Air Fuel,0.0,"Drift River Airport (3AK5), AK",sub
824,2019-07-31,Bombardier CRJ-900ER,N947LR,"American Eagle, opb Mesa Airlines",0.0,"Dallas/Fort Worth International Airport, TX (DFW/KDFW)",sub
825,2019-08-01,Douglas C-118A Liftmaster (DC-6A),N451CE,Everts Air Cargo,0.0,"Candle 2 Airport, AK",sub
826,2019-08-02,Airbus A330-243,G-MLJL,Thomas Cook Airlines,0.0,near SUMRS waypoint,min
827,2019-08-02,Shijiazhuang Y-5B(D),B-50OC,Liaoning Star General Aviation,0.0,"Longmen Farm, Wudalianchi, Heilongjiang Province",sub
828,2019-08-02,Boeing 787-8 Dreamliner,C-GHPU,Air Canada,0.0,"Vancouver International Airport, BC (YVR/CYVR)",min
829,2019-08-02,Airbus A340-313,HB-JMF,Edelweiss Air,0.0,"Vancouver International Airport, BC (YVR/CYVR)",sub
830,2019-08-04,Antonov An-2,RT-15-305,DOSAAF Tajikistan,1.0,near Fakhrabad,w/o
831,2019-08-05,Airbus A320-232,N432UA,United Airlines,0.0,"San Francisco International Airport, CA (SFO)",sub
832,2019-08-06,Cessna 510 Citation Mustang,CC-ANR,private,1.0,"0,4 km N of Los Ángeles-María Dolores Airport (LSQ)",w/o
833,2019-08-06,Cessna 208B Supervan 900,C-FSKF,Alkan Air,2.0,"46 km ENE of Mayo Airport, YT (YMA)",w/o
834,2019-08-06,Cessna 208B Grand Caravan,5H-NOW,Tropical Air,0.0,Mafia Airport (MFA),w/o
835,2019-08-06,Ilyushin Il-76TD,UR-COZ,SkyAviatrans,0.0,Misrata International Airport (MRA),w/o
836,2019-08-06,Cessna 560XLS+ Citation XLS+,D-CAWM,Aerowest,0.0,Aarhus Airport (AAR/EKAH),w/o
837,2019-08-07,British Aerospace 3201 Jetstream 32,HK-4540,SARPA - Servicios Aéreos Panamericanos,0.0,Bahía Solano-José Celestino Mutis Airport (BSC),sub
838,2019-08-07,HS-125/BAe-125,,unknown,0.0,"Las Pilas, Champerico, Retalhuleu",w/o
839,2019-08-08,Airbus A320-232,N505JB,Jetblue Airways,0.0,"Charlottesville, Virginia",non
840,2019-08-08,Bombardier CL-600-2B16 Challenger 604,N237QS,Netjets,0.0,"Lubbock, Texas",non
841,2019-08-08,Airbus A321-211 (WL),N717FR,Frontier Airlines,0.0,"Orlando International Airport, FL (MCO)",sub
842,2019-08-10,Canadair CL-600-2B16 Challenger 601,N602TS,private,0.0,Nassau-Lynden Pindling International Airport (NAS),sub
843,2019-08-12,Boeing 787-9 Dreamliner,G-CKWB,Norwegian Air UK,0.0,London-Gatwick Airport (LGW),min
844,2019-08-14,de Havilland Canada DHC-6 Twin Otter 200,T-82,Fuerza Aérea Argentina - FAA,0.0,54 km from Base Marambio,sub
845,2019-08-14,Beechcraft Super King Air,XB-...,Unknown,0.0,"El Ramonal, Chetumal, Quintana Roo",w/o
846,2019-08-15,Boeing 787-8 Dreamliner,JA808A,All Nippon Airways - ANA,0.0,"Over Chengde, Hebei Province",non
847,2019-08-15,de Havilland Canada DHC-6 Twin Otter 300,N322AV,Berry Aviation,0.0,"San Marcos Regional Airport, TX",sub
848,2019-08-15,Cessna 680A Citation Latitude,N8JR,JRM Air LLC,0.0,"Elizabethton Municipal Airport, TN",w/o
849,2019-08-15,Airbus A321-211,VQ-BOZ,Ural Airlines,0.0,ca 5 km SE of Zhukovsky International Airport (ZIA),sub
850,2019-08-16,de Havilland Canada DHC-8-200,5Y-SLM,SafariLink,0.0,Kichwa Tembo Airstrip,sub
851,2019-08-18,Cessna 208B Grand Caravan EX,N879MA,Mokulele Airlines,0.0,"Kapalua Airport, HI (JHM)",sub
852,2019-08-18,Boeing 757-251 (WL),N543US,Delta Air Lines,0.0,"Ponta Delgada-João Paulo II Airport, Azores (PDL)",sub
853,2019-08-21,Airbus A340-642,G-VFIT,Virgin Atlantic Airways,0.0,over Black Sea,non
854,2019-08-21,Cessna 750 Citation X,1060,Fuerza Aérea Venezolana - FAV,0.0,Caracas/La Carlota-Gen. Francisco de Miranda Air Base (SVFM),w/o
855,2019-08-21,Cessna 208B Super Cargomaster,C-FEXE,Morningstar Air Express,0.0,"Vancouver International Airport, BC (YVR/CYVR)",sub
856,2019-08-21,Cessna 560XL Citation Excel,N91GY,Delta Private Jets,0.0,"Oroville Airport, CA (OVE)",w/o
857,2019-08-22,Airbus A380-861,A6-EOP,Emirates,0.0,Dubai Airport (DXB),sub
858,2019-08-23,Antonov An-2T,OK-TIR,Club Tiroler Adler,0.0,Gmunden Airfield,sub
859,2019-08-25,Lockheed C-130A Hercules,N119TG,International Air Response,0.0,"Santa Barbara Airport, CA (SBA)",sub
860,2019-08-26,McDonnell Douglas MD-88,N911DL,Delta Air Lines,0.0,"Chicago-O'Hare International Airport, IL (ORD/KORD)",non
861,2019-08-27,Airbus A320-251N,N328FR,Frontier Airlines,0.0,"near Denver, CO",non
862,2019-08-27,Airbus A330-343,B-5958,Air China,0.0,Beijing-Capital International Airport (PEK),sub
863,2019-08-27,Cessna 560XL Citation Excel,VT-AVV,Air Charter Services,0.0,Aligarh Airport,w/o
864,2019-08-28,Cessna 525 CitationJet CJ1+,D-ICEY,Lenox Handels und Speditions GmbH,0.0,Egelsbach Airfield (EDFE),sub
865,2019-08-28,Antonov An-2R,RA-40389,private,0.0,"Selektsionny, Lgovsky district, Kursk region",sub
866,2019-08-30,Antonov An-2R,RA-33061,private,2.0,Lake Syuryun-Kyuel area,w/o
867,2019-08-31,Cessna 510 Citation Mustang,N551WH,Star Jet LLC,0.0,"El Monte-San Gabriel Valley Airport, CA (EMT)",sub
868,2019-09-01,Airbus A330-202,5A-LAU,Libyan Airlines,0.0,Tripoli-Mitiga International Airport (MJI),min
869,2019-09-01,Beechcraft B300 King Air 350,RP-C2296,Lionair Inc.,9.0,"Pansol, Calamba, Laguna",w/o
870,2019-09-02,British Aerospace BAe-125-700A,XB-PTW,private,2.0,near Nueva Cajolá,w/o
871,2019-09-05,Cessna 560XLS+ Citation XLS+,OE-GES,Jet 24 GmbH,0.0,Milano-Malpensa Airport (MXP),sub
872,2019-09-06,Airbus A319-132,N515NK,Spirit Airlines,0.0,"Fort Myers, Florida",non
873,2019-09-07,ATR 72-600 (72-212A),HK-5041,"Regional Express Américas, opf Avianca",0.0,Manizales-La Nubia Airport (MZL),sub
874,2019-09-09,Airbus A319-112,D-AKNL,Eurowings,0.0,near Berlin,non
875,2019-09-11,Bombardier CRJ-701ER,N765SK,"Skywest Airlines, opf American Eagle",0.0,"Chicago-O'Hare International Airport, IL (ORD/KORD)",sub
876,2019-09-11,Bombardier CRJ-701ER,N710SK,"Skywest Airlines, opf American Eagle",0.0,"Chicago-O'Hare International Airport, IL (ORD/KORD)",sub
877,2019-09-11,British Aerospace BAe-125-700A,XB-SMV,private,0.0,"Chencoh, Hopelchén",unk
878,2019-09-11,Cessna 208 Supervan 900,D-FIDI,GoJump,1.0,near Gransee Airfield,w/o
879,2019-09-11,Convair CV-440,N24DR,Ferreteria e Implementos San Francisco,2.0,"1 km ENE of Toledo-Express Airport, OH (TOL)",w/o
880,2019-09-16,Cessna 208B Grand Caravan,PT-MHC,TwoFlex,0.0,"0,6 km W of Manaus-Eduardo Gomes International Airport, AM (MAO/SBEG)",w/o
881,2019-09-18,Britten-Norman BN-2A-21 Islander,V6-03FM,Caroline Islands Air,0.0,"Ta Island Airstrip, Caroline Islands",w/o
882,2019-09-18,Viking Air DHC-6 Twin Otter 400,PK-CDC,"Rimbun Air, opb Carpediem Aviation",4.0,"10 km from Kampung Mamontoga, Hoeya District, Mimika Regency",w/o
883,2019-09-20,Cessna 208B Grand Caravan,N895SF,private,0.0,"Pepperell Airport, MA",sub
884,2019-09-23,Britten-Norman BN-2A-27 Islander,VP-MNI,FlyMontserrat,0.0,Montserrat-John A. Osborne Airport (MNI),sub
885,2019-09-23,Cessna 208B Grand Caravan EX,5H-AAM,Auric Air,2.0,Seronera Airstrip (SEU),w/o
886,2019-09-24,Cessna 208B Grand Caravan,YVO134,Gobernación del Estado Bolívar,0.0,San Salvador de Paúl Airstrip,sub
887,2019-09-24,Cessna 208 Caravan,1917,Department of Royal Rainmaking and Agricultural Aviation,2.0,Village no.9 Lum Sum Sai Yok District Kanchanaburi Province,w/o
888,2019-09-30,Antonov An-12BK,UR-CKL,Cavok Air,0.0,Liverpool International Airport (LPL),sub
889,2019-09-30,Gulfstream American G-1159 Gulfstream II B,XB-PVO,private,0.0,"Blue Creek, Orange Walk",w/o
890,2019-10-01,Boeing 777-31HER,A6-EBU,Emirates,0.0,near Batam Island,non
891,2019-10-02,Boeing B-17G Flying Fortress,N93012,The Collings Foundation,7.0,"Windsor Locks-Bradley International Airport, CT (BDL)",w/o
892,2019-10-04,Antonov An-12BK,UR-CAH,Ukraine Air Alliance,5.0,"1,1 km SE of Lviv-Danylo Halytskyi International Airport (LWO)",sub
893,2019-10-07,Hawker 800XP,N86MN,Delta Private Jets,0.0,"Fort Myers-Southwest Florida International Airport, FL (RSW)",sub
894,2019-10-07,Honda HA-420 HondaJet,N166HJ,Pro by Air,0.0,"Charleston International Airport, SC (CHS)",sub
895,2019-10-10,Antonov An-72,EK-72903,Air Force of the Democratic Republic of the Congo,8.0,near Kole,w/o
896,2019-10-11,de Havilland Canada DHC-6 Twin Otter 100,N166DH,Skydive Georgia,0.0,"Cedartown-Polk County Airport, GA",sub
897,2019-10-11,Fokker 50,5Y-IZO,Silverstone Air Services,0.0,near Nairobi-Wilson Airport (WIL),w/o
898,2019-10-12,Embraer EMB-110P1 Bandeirante,C6-KMC,Pineapple Air,0.0,Nassau-Lynden Pindling International Airport (NAS/MYNN),min
899,2019-10-12,ATR 42-600,JA01JC,Japan Air Commuter,0.0,65 km north-northwest of Tanegashima Airport (TNE/RJFG),non
900,2019-10-16,Bombardier Global Express,N307KP,Elite Air Inc,0.0,"Augusta-Bush Field, GA (AGS/KAGS)",non
901,2019-10-17,Saab 2000,N686PA,PenAir - Peninsula Airways,1.0,"Unalaska-Tom Madsen Airport, AK (DUT)",sub
902,2019-10-18,Airbus CC-150 Polaris (A310-300),15001,Royal Canadian Air Force - RCAF,0.0,"Trenton Canadian Forces Base, ON (YTR)",sub
903,2019-10-18,Douglas DC-3C,N437GB,Atlantic Air Cargo,0.0,"4,6 km NW off Nassau-Lynden Pindling International Airport (NAS)",unk
904,2019-10-22,Canadair CL-600-2B19 Regional Jet CRJ-200LR,N8837B,"Delta Connection, opb Endeavor Air",0.0,"near Atlanta Hartsfield-Jackson International Airport, GA (ATL)",sub
905,2019-10-22,Basler BT-67 Turbo 67 (DC-3T),FAS116,Fuerza Aérea Salvadoreña,0.0,San Salvador/Ilopango International Airport (SAL),sub
906,2019-10-25,Rockwell Sabreliner 65,N465BC,private,0.0,"Sipacate, Escuintla",w/o
907,2019-10-25,Beechcraft 200 Super King Air,,private,0.0,"Palajuyú, Sipacate, Escuintla",sub
908,2019-10-26,de Havilland Canada DHC-3T/M601 Turbine Otter,C-GBTU,Blue Water Aviation Services,3.0,"Family Lake, Little Grand Rapids First Nation, MB",w/o
909,2019-10-26,Airbus A330-341,PK-GPE,Garuda Indonesia Airways,0.0,near Banda Aceh (BTJ),non
910,2019-10-27,Gulfstream American G-1159 Gulfstream II SP,(N530GA),private,0.0,"Vista Hermosa, Ixcán",w/o
911,2019-10-27,Let L-410UVP,YI-BYO,Abeer Air Services,0.0,Kolnyang County,w/o
912,2019-10-29,de Havilland Canada DHC-8-402Q Dash 8,N402QX,Horizon Air,0.0,"near Boise, ID",sub
913,2019-10-31,Cessna 208B Super Cargomaster,N926FE,"Corporate Air, opf FedEx",0.0,"Honolulu-Daniel K. Inouye International Airport, HI (HNL)",min
914,2019-11-03,Boeing 787-8 Dreamliner,N796AV,Avianca,0.0,near Barcelona,non
915,2019-11-05,Learjet 35A,XA-VBD,USMX AirLink,0.0,San Jose Cabo-Los Cabos Airport (SJD),sub
916,2019-11-11,Boeing 747-428ERF,TC-ACR,ACT Airlines,0.0,Istanbul-Atatürk Airport (ISL/LTBA),non
917,2019-11-11,British Aerospace BAe-125-700A,(N237DX),private,0.0,Petén,w/o
918,2019-11-11,Embraer EMB-145LR (ERJ-145LR),N619AE,"American Eagle, opb Envoy Air",0.0,"Chicago-O'Hare International Airport, IL (ORD/KORD)",sub
919,2019-11-14,Cessna 550 Citation II,PT-LTJ,José João Abdalla Filho,5.0,"Maraú-Barra Grande Airport, BA (SIRI)",w/o
920,2019-11-15,Cessna 560 Citation Encore,N777HW,ETG Aviation LLC,0.0,"San Antonio International Airport, TX (SAT)",sub
921,2019-11-15,Cessna 525B CitationJet CJ3,N973CG,Pilot Point Consultancy LLC,0.0,"San Antonio International Airport, TX (SAT)",sub
922,2019-11-16,Bombardier CRJ-900,,,0.0,Düsseldorf International Airport (DUS/EDDL),sub
923,2019-11-16,Airbus A330-243,V5-ANO,Air Namibia,0.0,Frankfurt International Airport (FRA/EDDF),min
924,2019-11-16,Boeing 777-3B5ER,HL7204,Korean Air,0.0,Frankfurt International Airport (FRA/EDDF),sub
925,2019-11-21,Boeing 737-8F2 (WL),TC-JGZ,THY Turkish Airlines,0.0,Odessa-Central Airport (ODS),sub
926,2019-11-21,Gulfstream G150,TC-AEH,Tahe Havacilik,0.0,Odessa-Central Airport (ODS),sub
927,2019-11-22,Boeing 737-401,YV3012,Avior Airlines,0.0,Bogotá-Eldorado Airport (BOG/SKBO),sub
928,2019-11-23,Boeing 737-800,,,0.0,Nürnberg Airport (NUE/EDDN),non
929,2019-11-23,Beechcraft B200 King Air,(XB-PYB),private,0.0,Saint-Jean du Sud,w/o
930,2019-11-24,Dornier 228-201,9S-GNH,Busy Bee Congo,27.0,1 km S of Goma Airport (GOM),w/o
931,2019-11-25,de Havilland Canada DHC-8-311 Dash 8,9J-PZB,Proflight Air Services,0.0,near Lusaka,sub
932,2019-11-25,McDonnell Douglas MD-88,N975DL,Delta Air Lines,0.0,Atlanta Hartsfield - Jackson (ATL / KATL),sub
933,2019-11-26,Cessna 208B Grand Caravan,,Tropicair,0.0,Gasmata,non
934,2019-12-01,British Aerospace BAe-125-700A,N949CL,private,0.0,"near El Picudo, San Andrés",w/o
935,2019-12-01,Beechcraft B99 Airliner,C6-FER,Flamingo Air Charter,0.0,Black Point Airstrip (MYEB),sub
936,2019-12-02,British Aerospace BAe-125-700A,false reg.,private,0.0,near San Andrés Villa Seca,w/o
937,2019-12-03,British Aerospace BAe-125-800A,N469RJ,Business Jet Managers Inc,0.0,"Detroit-Coleman A. Young International Airport, MI (DET)",sub
938,2019-12-03,Basler BT-67 Turbo 67 (DC-3T),C-FKAL,North Star Air,0.0,"0,5 km SW of Sachigo Lake Airport, ON (ZPB)",sub
939,2019-12-04,Beechcraft 200 Super King Air,,private,2.0,"Sayaxché, Petén",w/o
940,2019-12-06,British Aerospace BAe-125-800A,(N293WB),private,0.0,"0,4 km NW of Chan Chen, Corozal",w/o
941,2019-12-09,Lockheed C-130H Hercules,990,Fuerza Aérea de Chile,38.0,520 km NW off King George Island,w/o
942,2019-12-09,Cessna 208B Super Cargomaster,N4602B,Martinaire,1.0,"ca 11 km NE of Victoria Regional Airport, TX (VCT)",w/o
943,2019-12-10,de Havilland Canada DHC-8-402Q Dash 8,ET-AQC,Ethiopian Airlines,0.0,Juba Airport (JUB),sub
944,2019-12-15,Airbus A330-202,VH-EBC,Qantas,0.0,"69 km south east Bathurst, NSW",non
945,2019-12-15,Embraer EMB-145LR,N648AE,"Piedmont Airlines, opf American Eagle",0.0,"Philadelphia, Pennsylvania",non
946,2019-12-15,Grumman American G-1159 Gulfstream IISP,(XB-BZH),private,0.0,Quiché,w/o
947,2019-12-16,Embraer ERJ-140LR,N805AE,"Envoy Air, opf American Eagle",0.0,"Alexandria, Louisiana",non
948,2019-12-16,Airbus A330-243,EC-LQO,Air Europa,0.0,near Madrid-Barajas Adolfo Suárez Airport (MAD/LEMD),non
949,2019-12-16,Beechcraft 200 Super King Air,,private,0.0,Sarteneja airstrip,w/o
950,2019-12-17,Beechcraft B300 King Air 350,N160RW,Ritch Air LLC,0.0,"Visalia Airport, CA (VIS)",sub
951,2019-12-18,Embraer ERJ-190AR,N959UW,American Airlines,0.0,"Disputanta, Virginia",non
952,2019-12-18,Beechcraft 200 Super King Air,N72MM,WL Aviation LLC,0.0,"Fresno Yosemite International Airport, CA (FAT)",sub
953,2019-12-18,Cessna 525A CitationJet CJ2,C-GOJG,C-GHGR Holdings,0.0,"near Scottsbluff, NE",sub
954,2019-12-18,Beechcraft 200 Super King Air,,private,0.0,"El Chico, Retalhuleu",w/o
955,2019-12-19,Boeing 737-924ER (WL),N68802,United Airlines,0.0,"Chicago-O'Hare International Airport, IL (ORD/KORD)",non
956,2019-12-19,Beechcraft A100 King Air,YV1104,Representaciones Aero3,9.0,near Charallave-Óscar Machado Zuloaga Airport,w/o
957,2019-12-21,Boeing 737-7BD (WL),N7739A,Southwest Airlines,0.0,"near Kansas City International Airport, MO (MCI)",sub
958,2019-12-22,Boeing 737-824 (WL),N87513,United Airlines,0.0,"Denver International Airport, CO (DEN/KDEN)",sub
959,2019-12-24,Cessna 208B Grand Caravan,XA-TWN,Calafia Airlines,2.0,near Tastiota,w/o
960,2019-12-25,Airbus A320-232 (WL),B-50001,Tigerair Taiwan,0.0,100 km NNE of Miyazaki Airport,non
961,2019-12-27,Cirrus SF50 Vision Jet,N52CV,private,0.0,"Santa Monica Airport, CA (SMO)",sub
962,2019-12-27,Fokker 100,UP-F1007,Bek Air,12.0,near Almaty Airport (ALA),w/o
963,2019-12-28,Let L-410UVP-E,9S-GDX,Air Fast Congo,0.0,Kamina Airport (KMN),sub
964,2019-12-29,Cessna 560XL Citation XLS,LV-FQD,Sunny Sky,0.0,"6 km from Otamendi, BA",sub
965,2018-01-01,Airbus A319-111,G-EZII,Easyjet,0.0,80 nm NE of Barcelona Airport (LEBL),non
966,2018-01-03,Airbus A319-131,G-DBCA,British Airways,0.0,near Verona Villafranca,non
967,2018-01-04,Gulfstream G150,OE-GKA,Private Airlines Germany,1.0,Kittilä Airport (KTT),sub
968,2018-01-05,Boeing 737-8FH (WL),C-FPRP,Sunwing Airlines,0.0,"Toronto-Pearson International Airport, ON (YYZ)",sub
969,2018-01-05,Boeing 737-8CT (WL),C-FDMB,WestJet,0.0,"Toronto–Lester B. Pearson International Airport, Ontario (YYZ)",sub
